Question,Hint,Answer
What is the primary purpose of an operating system?,Think about everything sitting between the user/apps and the hardware.,An operating system manages hardware resources and provides services and an interface for applications and users.
Which operating system is developed by Microsoft for desktop and workstation computers?,Think Windows 11.,Microsoft Windows.
Which operating system is commonly used on Apple Mac computers?,Apple's desktop operating system.,macOS.
Which operating system is open source and commonly used on servers and workstations?,"Think Ubuntu, Fedora, Debian.",Linux.
Which operating system is designed primarily for lightweight devices that use Google's ecosystem?,Think Chromebooks.,Chrome OS.
Which mobile operating system is developed by Apple for iPhones?,Apple's phone OS.,iOS.
Which mobile operating system is used by many manufacturers including Samsung and Google?,It's based on the Linux kernel.,Android.
Which mobile operating system is designed for Apple's iPad?,Apple's tablet-specific OS.,iPadOS.
What is NTFS primarily used for?,Think modern Windows internal drives.,"NTFS is the primary Windows file system and supports features such as permissions, encryption, and large files."
What is FAT32's major limitation compared with NTFS?,Think about the maximum size of one file.,FAT32 has a maximum individual file size of 4 GB.
What is exFAT commonly used for?,Think removable storage that needs compatibility between operating systems.,exFAT is commonly used on flash drives and other removable media because it supports large files and broad OS compatibility.
What file system is commonly used by modern Linux distributions?,Think ext4.,ext4.
What file system is commonly associated with modern macOS?,Apple's modern file system.,APFS.
What is ReFS designed to provide?,Think Windows storage resilience and integrity.,"ReFS is Microsoft's Resilient File System, designed for data integrity, resiliency, and large-scale storage."
What does EOL mean when discussing an operating system?,The vendor has stopped supporting it.,End of life; the vendor no longer provides normal support or updates.
Why is running an EOL operating system a security risk?,Think vulnerabilities that never get patched.,Newly discovered vulnerabilities may remain unpatched.
What is a clean installation of an operating system?,You're starting fresh rather than preserving the existing installation.,A clean install installs the OS from scratch and normally removes the existing OS and applications from the target installation.
What is an OS upgrade?,Think moving to a newer version while preserving existing data and applications when supported.,An upgrade replaces the existing OS with a newer version while attempting to preserve compatible applications and user data.
What is multiboot?,"One computer, multiple operating systems.",A configuration that allows multiple operating systems to be installed and selected during startup.
What is a network-based OS installation?,The installation files come across the network.,The computer boots or loads installation files from a network source.
What is an Internet-based OS installation?,The installer obtains required files from online services.,An installation method that downloads the operating system or installation components over the Internet.
Why should hardware and software compatibility be checked before an OS upgrade?,"An OS can require specific CPU, RAM, storage, drivers, or application support.","To prevent unsupported hardware, drivers, or applications from failing after the upgrade."
What is a Windows Home edition primarily intended for?,Think consumers rather than corporate domain management.,Consumer-focused Windows with fewer business-management features.
What is a major feature available in Windows Pro that is not normally available in Home?,Think joining a Windows domain.,Windows Pro supports features such as domain joining.
What Windows feature provides full-volume encryption for supported drives?,Think encryption tied to Windows security hardware.,BitLocker.
What is BitLocker To Go used for?,Think removable drives.,Encrypting removable storage such as USB drives.
What Windows tool shows running applications and processes?,You probably use it when a program freezes.,Task Manager.
What Windows tool is used to manage partitions and volumes?,"Think creating, deleting, formatting, or resizing volumes.",Disk Management.
What Windows tool lets you manage hardware devices and their drivers?,Think yellow warning icons next to hardware.,Device Manager.
What Windows tool displays system and application event logs?,Think investigating crashes and errors after the fact.,Event Viewer.
What Windows tool can be used to manage local users and groups?,Think user accounts from the Windows management console.,Computer Management or the appropriate Local Users and Groups management tools.
What Windows tool can manage services running in the background?,Think programs that start and run without a normal application window.,Services.
What is the purpose of Windows Registry Editor?,Think the central configuration database.,Regedit is used to view and modify the Windows Registry.
What does msconfig primarily help configure?,Think startup and boot configuration.,System Configuration settings such as boot options and selected startup behavior.
What is the purpose of Windows System Information?,Think a detailed inventory of the computer's configuration.,"It displays detailed information about hardware resources, components, drivers, and software environment."
What does Event Viewer help a technician determine?,Think logs.,"It provides logged events that can help identify errors, warnings, and system activity."
What does ipconfig display?,Think Windows network configuration.,IP addressing and related network configuration information.
What does ipconfig /all provide that basic ipconfig does not?,You want the complete adapter configuration.,"Detailed adapter information including MAC address, DHCP status, DNS servers, and lease information."
What does ipconfig /release do?,You're throwing away the current DHCP lease.,It releases the current DHCP-assigned IPv4 address.
What does ipconfig /renew do?,You want a fresh DHCP address.,It requests a new DHCP lease.
What does ipconfig /flushdns do?,Think stale DNS information.,It clears the local DNS resolver cache.
What does ping test?,Think basic reachability.,It tests IP connectivity and measures response time to a destination.
What does tracert show?,Think the path packets take toward a destination.,It shows the network hops between the source and destination.
What does nslookup test?,Think translating names into IP addresses.,It queries DNS information.
What does netstat display?,Think active connections and listening services.,"It displays network connections, listening ports, and related network statistics."
What does chkdsk do?,Think checking the file system and disk.,It checks a file system and can identify or repair certain file-system errors.
What does sfc /scannow do?,Think damaged Windows system files.,It scans protected Windows system files and repairs corrupted files when possible.
What does DISM commonly repair?,Think the Windows component store behind system-file repair.,It services and repairs the Windows image/component store.
What does taskkill do?,Think terminating a process from the command line.,It terminates a running process.
What does tasklist display?,Think Task Manager from the command line.,It lists running processes.
What does shutdown /r do?,The /r option means restart.,It restarts the computer.
What does gpupdate do?,Think refreshing Group Policy.,It refreshes Group Policy settings on a Windows computer.
What does gpresult show?,Think which Group Policy settings actually applied.,It displays resulting Group Policy settings and related information.
What does net user do?,Think Windows user accounts from the command line.,It manages or displays local user-account information.
What does net use do?,Think mapping a network resource.,It connects to or manages network resources such as mapped drives.
What does the Linux pwd command display?,Think where you currently are.,The current working directory.
What does the Linux ls command do?,Think listing files.,It lists files and directories.
What does the Linux cd command do?,Think changing location.,It changes the current working directory.
What does the Linux mkdir command do?,The name gives it away.,It creates a directory.
What does the Linux rm command do?,Be careful with this one.,It removes files or directories.
What does the Linux cp command do?,Think copying.,It copies files or directories.
What does the Linux mv command do?,It can do two jobs.,It moves or renames files and directories.
What does the Linux cat command do?,Think displaying file contents.,It displays the contents of a file.
What does the Linux grep command do?,Think finding matching text.,It searches text for lines matching a specified pattern.
What does the Linux chmod command change?,Think file permissions.,It changes file or directory permissions.
What does the Linux chown command change?,Think ownership rather than permissions.,It changes the owner or group ownership of a file or directory.
What does the Linux ps command show?,Think processes.,It displays running processes.
What does the Linux top command provide?,Think Task Manager-style process monitoring.,It provides a real-time view of processes and resource usage.
What does the Linux man command provide?,Think built-in documentation.,It displays manual pages for commands.
What does sudo allow a Linux user to do?,Think temporarily using elevated privileges.,It runs a command with elevated privileges when the user is authorized.
What is a GUI?,Think graphical interaction.,"A graphical user interface that uses windows, icons, menus, and pointers."
What is a CLI?,Think typing commands rather than clicking.,A command-line interface.
What is a driver?,Think software that lets the OS communicate with hardware.,Software that allows an operating system to communicate with and control a hardware device.
Why should a driver be compatible with the OS version?,The OS needs to know how to communicate correctly with the hardware.,"An incompatible driver can cause hardware failures, instability, or missing functionality."
What is the purpose of Device Manager when troubleshooting a driver problem?,Look for warnings or driver information.,"It identifies hardware devices, driver status, and device errors."
What is a system restore point?,Think rolling Windows configuration back without restoring everything.,A snapshot of system configuration that can be used to revert certain system settings and files.
What is Windows Safe Mode used for?,Think starting Windows with minimal drivers and services.,It starts Windows with a limited set of drivers and services to help troubleshoot problems.
What is a Windows recovery environment used for?,Think repairing a computer that cannot boot normally.,It provides recovery and troubleshooting tools for Windows startup and system problems.
What is the purpose of Startup Repair?,The computer has trouble starting Windows.,It attempts to diagnose and repair problems preventing Windows from booting.
What is a bootloader?,It runs before the operating system is fully loaded.,Software responsible for loading the operating system during startup.
What is a file system?,Think how the OS organizes data on storage.,"A structure and set of rules used to organize, store, name, and access files."
What is application compatibility?,Think whether software will actually work on the target OS.,Whether an application can run correctly on a particular operating system and environment.
What is an application dependency?,An app may rely on something else.,A software component or service required for an application to function.
What is a software repository?,Think a managed source of software packages.,A centralized collection from which software packages can be obtained and installed.
What is a package manager used for in Linux?,Think installing and updating software from repositories.,"It manages software packages, including installation, removal, and updates."
What is SaaS?,You use the application rather than managing its underlying infrastructure.,Software as a Service provides software applications through a service provider.
What is a cloud-based productivity application?,"Think documents, email, spreadsheets, or collaboration delivered online.",A productivity application hosted or delivered through cloud services.
What is authentication?,It answers one key question about an identity.,Verifying that a user or entity is who they claim to be.
What is authorization?,It happens after identity is established.,Determining what an authenticated user is allowed to access or do.
What is accounting in AAA?,Think tracking activity.,Recording and tracking user or system activity.
What are the three components of AAA?,Three A's.,"Authentication, authorization, and accounting."
What is multifactor authentication?,Think requiring different categories of evidence.,Authentication using two or more factors from different categories.
What are the three authentication factor categories?,Know these cold.,"Something you know, something you have, and something you are."
Which authentication factor is a password?,You know it.,Something you know.
Which authentication factor is a security token?,You possess it.,Something you have.
Which authentication factor is a fingerprint?,It's a physical characteristic.,Something you are.
What is single sign-on?,Think one authentication used for multiple services.,SSO allows a user to authenticate once and access multiple authorized services.
What is least privilege?,Give users only what they actually need.,Users and processes should receive only the permissions necessary to perform their tasks.
What is zero trust?,Don't automatically trust something just because it is inside the network.,A security model that continuously verifies access and does not inherently trust users or devices based on location.
What is defense in depth?,Don't rely on one security control.,Using multiple layers of security controls so one failure does not expose the entire system.
What is an access control vestibule?,Think two doors preventing unrestricted entry.,A physical security area with controlled entry between two doors.
What is a mantrap?,Same general idea as controlled two-door entry.,A physical access-control area designed to prevent unauthorized people from entering by requiring controlled passage.
What is CCTV used for?,Think physical surveillance.,Closed-circuit television used to monitor and record physical areas.
What is a badge reader used for?,Think physical access control.,It authenticates an access credential to control entry.
What is a biometric control?,Think fingerprint or facial recognition.,A security control that identifies or authenticates a person using a biological characteristic.
What is a security camera an example of?,Think physical security.,A physical security control.
What is a firewall used for?,Think controlling network traffic.,It permits or blocks network traffic based on configured rules.
What is Windows Defender Firewall?,Windows' built-in network filtering control.,A host-based firewall included with Windows.
What is UAC in Windows?,Think preventing silent administrative changes.,User Account Control prompts for authorization when actions require elevated privileges.
What is BitLocker protecting against?,Think stolen drives being read elsewhere.,It provides full-volume encryption to help protect data if a drive is removed or stolen.
